type,feature,id,dataset,group
baseline,pertain to school curriculums and unique educational programs.,5,nyt,0
baseline,focus on historical wars and famous battles.,6,nyt,0
baseline,involve luxury seaside resorts and vacations.,7,nyt,0
baseline,relate to theatre and performing arts details.,8,nyt,0
baseline,are about international expositions and expos.,9,nyt,0
baseline,describe tours related to wine and vineyards.,10,nyt,0
baseline,discuss automotive or aviation historical artifacts.,11,nyt,0
baseline,are about classic films and actors.,12,nyt,0
baseline,relate to retirement homes or foreign investment.,13,nyt,0
baseline,detail sports events or athletic competitions.,14,nyt,0
baseline,discuss health-related technology and innovations.,15,nyt,0
baseline,relate to cultural or culinary festivals.,16,nyt,0
baseline,describe mystery and detective genres.,17,nyt,0
baseline,pertain to maritime activities and watercraft.,18,nyt,0
baseline,describe aviation accidents or investigations.,19,nyt,0
baseline,describe unique sports or recreational activities.,20,nyt,0
baseline,relate to financial markets or economic data.,21,nyt,0
baseline,pertain to human rights and legal proceedings.,22,nyt,0
baseline,describe innovative furniture or home decor.,23,nyt,0
baseline,are about environmental preservation or fauna.,24,nyt,0
baseline,describe architectural landmarks or construction projects.,25,nyt,0
baseline,focus on historical or contemporary military conflicts.,26,nyt,0
baseline,involve scientific research and breakthroughs.,27,nyt,0
baseline,pertain to psychological studies and mental health.,28,nyt,0
baseline,cover urban development or municipal challenges.,29,nyt,0
baseline,describe educational methods or learning techniques.,30,nyt,0
baseline,relate to controversies in public policy.,31,nyt,0
baseline,are related to product recalls or consumer safety.,32,nyt,0
baseline,detail agriculture or farming methods.,33,nyt,0
baseline,describe corporate or business history.,34,nyt,0
baseline,discuss crime stories or criminal investigations.,35,nyt,0
baseline,relate to sports teams or player transactions.,36,nyt,0
baseline,describe fashion trends or designer profiles.,37,nyt,0
baseline,discuss trade and commerce.,38,nyt,0
baseline,describe musical tours or performances.,39,nyt,0
baseline,discuss historical movements or political periods.,40,nyt,0
baseline,describe personal finance or estate planning.,41,nyt,0
baseline,involve job market trends or employment data.,42,nyt,0
baseline,relate to geology or earth science.,43,nyt,0
baseline,cover episods of natural disasters.,44,nyt,0
baseline,discuss wildlife or nature conservation.,45,nyt,0
baseline,involve travel planning or itineraries.,46,nyt,0
baseline,describe traditional and digital media platforms.,47,nyt,0
baseline,relate to transportation technologies or trends.,48,nyt,0
baseline,discuss healthcare or medical advancements.,49,nyt,0
prompting,The selected string focuses on a familial relationship.,0,nyt,0
prompting,The selected string highlights a specific geopolitical context: China.,1,nyt,0
prompting,"The selected string is concise, with a single-sentence structure.",2,nyt,0
prompting,"The selected string uses formal, legalistic language.",3,nyt,0
prompting,The selected string targets an audience interested in culinary arts.,4,nyt,0
prompting,The selected string focuses on car interior personalization.,5,nyt,0
prompting,The selected string critiques advice given by an advice column.,6,nyt,0
prompting,The selected string includes direct quotes from cultural figures.,7,nyt,0
prompting,The selected string uses vivid imagery and descriptive language.,8,nyt,0
prompting,The selected string highlights a national achievement in sports.,9,nyt,0
prompting,The selected string provides specific recommendations for travel experiences.,10,nyt,0
prompting,The selected string focuses on Middle East conflict dynamics.,11,nyt,0
prompting,The selected string is concise and to the point.,12,nyt,0
prompting,The selected string reflects on media's cultural impact.,13,nyt,0
prompting,The selected string focuses on architectural and design elements.,14,nyt,0
prompting,The selected string incorporates humor in discussing progress.,15,nyt,0
prompting,The selected string is written in an informative and academic tone.,16,nyt,0
prompting,The selected string focuses on a single individual's life story.,17,nyt,0
prompting,The selected string includes a direct quote from an individual.,18,nyt,0
prompting,The selected string includes historical context of post-Communist Europe.,19,nyt,0
prompting,The selected string incorporates a playful tone with educational themes.,20,nyt,0
prompting,The selected string is set in Argentina during an economic crisis.,21,nyt,0
prompting,The selected string covers multiple unrelated topics in one article.,22,nyt,0
prompting,"The selected string uses a straightforward, informative tone throughout.",23,nyt,0
prompting,The selected string maintains a helpful and informative tone.,24,nyt,0
prompting,The selected string uses a hopeful and optimistic tone throughout.,25,nyt,0
prompting,The selected string is specific to a geographical location.,26,nyt,0
prompting,The selected string uses a first-person perspective.,27,nyt,0
prompting,The selected string emphasizes regional pride and identity.,28,nyt,0
prompting,The selected string focuses on travel-related inquiries and responses.,29,nyt,0
prompting,The selected string is concise and to the point.,30,nyt,0
prompting,"The selected string uses a straightforward, factual tone.",31,nyt,0
prompting,The selected string focuses on television personalities and entertainment.,32,nyt,0
prompting,The selected string includes specific product prices and contact information.,33,nyt,0
prompting,"The selected string uses straightforward, formal language.",34,nyt,0
prompting,The selected string references historical figures like Ben Franklin.,35,nyt,0
prompting,The selected string employs a casual and conversational tone.,36,nyt,0
prompting,The selected string provides detailed cost comparisons for bike options.,37,nyt,0
prompting,The selected string uses a nostalgic and whimsical tone.,38,nyt,0
prompting,The selected string focuses on local community and education.,39,nyt,0
prompting,"The selected string uses straightforward, formal language.",40,nyt,0
prompting,The selected string includes direct quotes from key figures.,41,nyt,0
prompting,The selected string is concise and to the point.,42,nyt,0
prompting,The selected string has a speculative and imaginative tone.,43,nyt,0
prompting,The selected string focuses on financial advice and currency exchange.,44,nyt,0
prompting,"The selected string uses vivid, descriptive language for scenery.",45,nyt,0
prompting,The selected string uses a conversational and informal tone.,46,nyt,0
prompting,The selected string uses a Q&A format for information.,47,nyt,0
prompting,The selected string is concise and brief.,48,nyt,0
prompting,The selected string involves international collaboration and decision-making.,49,nyt,0
featurization,The selected string focuses on journalistic integrity and corrections.,0,nyt,0
featurization,The selected string provides specific titles and authorship details.,1,nyt,0
featurization,The selected string is a letter to the editor format.,2,nyt,0
featurization,The selected string provides specific contact information and websites.,3,nyt,0
featurization,The selected string focuses on a legal correction.,4,nyt,0
featurization,The selected string focuses on a single correction.,5,nyt,0
featurization,The selected string references a specific column and author.,6,nyt,0
featurization,The selected string covers diverse topics in a single article.,7,nyt,0
featurization,The selected string features a prominent New York City setting.,8,nyt,0
featurization,The selected string includes specific travel and event details.,9,nyt,0
featurization,The selected string addresses a specific correction.,10,nyt,0
featurization,The selected string focuses on a financial correction.,11,nyt,0
featurization,The selected string incorporates visual elements through photography references.,12,nyt,0
featurization,The selected string focuses on retail and interior design.,13,nyt,0
featurization,The selected string is significantly longer and more detailed.,14,nyt,0
featurization,The selected string is centered around a sports figure and event.,15,nyt,0
featurization,The selected string addresses a fashion-related topic.,16,nyt,0
featurization,The selected string covers multiple international locations and events.,17,nyt,0
featurization,The selected string addresses a specific error in a publication.,18,nyt,0
featurization,The selected string is set in Argentina with a global sports context.,19,nyt,0
featurization,The selected string focuses on travel-related questions and answers.,20,nyt,0
featurization,The selected string provides detailed travel and service information.,21,nyt,0
featurization,The selected string corrects a factual error.,22,nyt,0
featurization,The selected string lacks a question-and-answer format.,23,nyt,0
featurization,The selected string addresses a specific error in reporting.,24,nyt,0
featurization,The selected string uses humor to discuss serious topics.,25,nyt,0
featurization,The selected string focuses on consumer products and their details.,26,nyt,0
featurization,The selected string focuses on a specific design innovation.,27,nyt,0
featurization,The selected string focuses on a historical cultural tradition.,28,nyt,0
featurization,The selected string includes specific pricing and product details.,29,nyt,0
featurization,The selected string focuses on a familial relationship.,30,nyt,0
featurization,The selected string includes specific contact details and addresses.,31,nyt,0
featurization,The selected string addresses a specific error in a previous article.,32,nyt,0
featurization,The selected string includes direct responses to reader questions.,33,nyt,0
featurization,The selected string focuses on a single public figure.,34,nyt,0
featurization,The selected string focuses on a single individual's personal issues.,35,nyt,0
featurization,The selected string addresses a specific audience: newspaper readers.,36,nyt,0
featurization,The selected string employs humor and cultural references.,37,nyt,0
featurization,The selected string includes specific historical context.,38,nyt,0
featurization,The selected string mentions a specific academic affiliation.,39,nyt,0
featurization,"The selected string focuses on a single, localized setting in New York.",40,nyt,0
featurization,The selected string focuses on a scientific and health topic.,41,nyt,0
featurization,The selected string focuses on art and cultural experiences.,42,nyt,0
featurization,The selected string features a political context and setting.,43,nyt,0
featurization,The selected string addresses multiple unrelated topics in a single article.,44,nyt,0
featurization,The selected string highlights a designer's personal achievements and projects.,45,nyt,0
featurization,The selected string includes specific pricing and contact details.,46,nyt,0
featurization,The selected string explores themes of childhood and adult relationships.,47,nyt,0
featurization,The selected string addresses a specific legal and financial issue.,48,nyt,0
featurization,The selected string references a historical media event.,49,nyt,0
baseline,mention 'President' and political leaders.,0,nyt,1
baseline,involve sports events and specific athletes.,1,nyt,1
baseline,refer to famous novels or literary analysis.,2,nyt,1
baseline,describe specific locations like New York or London.,3,nyt,1
baseline,reference historical figures or politicians.,4,nyt,1
baseline,discuss television shows or broadcast media.,5,nyt,1
baseline,involve legal matters or court cases.,6,nyt,1
baseline,highlight art or cultural exhibitions.,7,nyt,1
baseline,mention technological or scientific developments.,8,nyt,1
baseline,discuss international relations or foreign policy.,9,nyt,1
baseline,describe natural disasters or emergency situations.,10,nyt,1
baseline,detail economic factors or financial markets.,11,nyt,1
baseline,involve military actions or national defense.,12,nyt,1
baseline,"discuss music, dance, or theatrical performances.",13,nyt,1
baseline,involve architectural or urban development.,14,nyt,1
baseline,highlight criminal cases or police activities.,15,nyt,1
baseline,include celebrity news or entertainment industry.,16,nyt,1
baseline,provide culinary insights or food reviews.,17,nyt,1
baseline,discuss educational institutions or academic updates.,18,nyt,1
baseline,revolve around fashion and lifestyle.,19,nyt,1
baseline,mention environmental concerns or conservation efforts.,20,nyt,1
baseline,describe healthcare issues or wellness topics.,21,nyt,1
baseline,involve transportation or infrastructure developments.,22,nyt,1
baseline,discuss social services or humanitarian efforts.,23,nyt,1
baseline,highlight historical events or anniversaries.,24,nyt,1
baseline,involve science fiction or fantasy genres.,25,nyt,1
baseline,discuss religious or spiritual topics.,26,nyt,1
baseline,describe food and beverage themes.,27,nyt,1
baseline,present book or movie reviews.,28,nyt,1
baseline,involve workforce and employment topics.,29,nyt,1
baseline,cover family dynamics or personal relationships.,30,nyt,1
baseline,discuss media and communication platforms.,31,nyt,1
baseline,feature design and art aesthetics discussion.,32,nyt,1
baseline,involve animal and wildlife conservation.,33,nyt,1
baseline,highlight crime and justice issues.,34,nyt,1
baseline,reference athletic achievements or competitions.,35,nyt,1
baseline,discuss education systems or policy reforms.,36,nyt,1
baseline,outline financial trends or market conditions.,37,nyt,1
baseline,describe environmental disasters or climate changes.,38,nyt,1
baseline,feature aspects of cultural heritage or traditions.,39,nyt,1
baseline,revolve around public health initiatives or concerns.,40,nyt,1
baseline,disclose war and peace negotiations.,41,nyt,1
baseline,include fashion trends or industry highlights.,42,nyt,1
baseline,involve space exploration or astronomical events.,43,nyt,1
baseline,detail public announcements or official statements.,44,nyt,1
baseline,highlight local community developments or concerns.,45,nyt,1
baseline,involve digital technology or innovation.,46,nyt,1
baseline,describe animal behavior or studies.,47,nyt,1
baseline,depict court rulings or legal processes.,48,nyt,1
baseline,involve business and corporate dynamics.,49,nyt,1
prompting,The selected string uses a direct and straightforward writing style.,0,nyt,1
prompting,The selected string discusses diplomatic strategies and negotiations.,1,nyt,1
prompting,"The selected string uses a straightforward, factual reporting style.",2,nyt,1
prompting,The selected string uses a hopeful and positive tone throughout.,3,nyt,1
prompting,The selected string employs vivid imagery and descriptive language.,4,nyt,1
prompting,The selected string uses a chronological structure for program descriptions.,5,nyt,1
prompting,The selected string is centered on a specific political event.,6,nyt,1
prompting,"The selected string highlights trendy, contemporary cultural references.",7,nyt,1
prompting,The selected string is concise and straightforward in structure.,8,nyt,1
prompting,The selected string highlights cultural influences on construction.,9,nyt,1
prompting,The selected string discusses geopolitical changes affecting stamp issuance.,10,nyt,1
prompting,The selected string focuses on a historical sports figure.,11,nyt,1
prompting,The selected string includes scientific studies and research findings.,12,nyt,1
prompting,The selected string highlights geopolitical tensions and diplomatic incidents.,13,nyt,1
prompting,The selected string focuses on a medical documentary.,14,nyt,1
prompting,The selected string includes personal anecdotes from the narrator.,15,nyt,1
prompting,The selected string balances modernity with traditional European influences.,16,nyt,1
prompting,The selected string focuses on a design and furniture fair.,17,nyt,1
prompting,The selected string uses a formal and diplomatic tone.,18,nyt,1
prompting,The selected string includes specific product and price details.,19,nyt,1
prompting,The selected string provides specific broadcast details and scheduling.,20,nyt,1
prompting,"The selected string incorporates vivid, sensory-rich descriptions of settings.",21,nyt,1
prompting,The selected string uses a formal tone.,22,nyt,1
prompting,The selected string includes references to popular TV shows.,23,nyt,1
prompting,The selected string omits specific names and detailed descriptions.,24,nyt,1
prompting,The selected string explores themes of legacy and artistic influence.,25,nyt,1
prompting,The selected string targets an audience dealing with estate planning.,26,nyt,1
prompting,The selected string uses technical and scientific vocabulary extensively.,27,nyt,1
prompting,The selected string is set in a fictional English village.,28,nyt,1
prompting,The selected string uses a formal and factual writing style.,29,nyt,1
prompting,The selected string has a somber and reflective tone.,30,nyt,1
prompting,The selected string emphasizes emotional and sentimental value of items.,31,nyt,1
prompting,The selected string uses a critical and sarcastic tone.,32,nyt,1
prompting,The selected string is a review of a television series.,33,nyt,1
prompting,The selected string has a competitive and strategic tone.,34,nyt,1
prompting,The selected string discusses international diplomatic relations.,35,nyt,1
prompting,The selected string highlights a peaceful transition of power.,36,nyt,1
prompting,The selected string is concise and focused on a single event.,37,nyt,1
prompting,The selected string uses a serious and analytical tone.,38,nyt,1
prompting,The selected string focuses on a job interview scenario.,39,nyt,1
prompting,The selected string focuses on a specific sports event.,40,nyt,1
prompting,The selected string focuses on personalizing living spaces.,41,nyt,1
prompting,The selected string incorporates personal anecdotes and life lessons.,42,nyt,1
prompting,The selected string uses a personal anecdote to engage readers.,43,nyt,1
prompting,The selected string is concise and to the point.,44,nyt,1
prompting,The selected string includes a detailed description of a unique project.,45,nyt,1
prompting,The selected string uses vivid imagery to describe scenes.,46,nyt,1
prompting,The selected string is significantly shorter in length.,47,nyt,1
prompting,The selected string includes direct quotes from political leaders.,48,nyt,1
prompting,The selected string uses historical context to explain current events.,49,nyt,1
featurization,The selected string is centered on a specific political event.,0,nyt,1
featurization,The selected string includes detailed cast and crew information.,1,nyt,1
featurization,The selected string highlights New York-centric events and personalities.,2,nyt,1
featurization,The selected string includes a correction notice.,3,nyt,1
featurization,The selected string involves multiple countries and international organizations.,4,nyt,1
featurization,The selected string includes historical and modern references.,5,nyt,1
featurization,The selected string uses a single photo description.,6,nyt,1
featurization,The selected string includes a specific page reference.,7,nyt,1
featurization,The selected string includes specific financial and legal details.,8,nyt,1
featurization,"The selected string involves a high-profile, widely recognized public figure.",9,nyt,1
featurization,The selected string discusses historical and contemporary design trends.,10,nyt,1
featurization,The selected string includes historical context and personal anecdotes.,11,nyt,1
featurization,The selected string includes specific broadcast details and times.,12,nyt,1
featurization,The selected string focuses on a geopolitical conflict.,13,nyt,1
featurization,The selected string focuses on a specific international incident.,14,nyt,1
featurization,The selected string includes specific player statistics and game details.,15,nyt,1
featurization,The selected string is set in a specific European location.,16,nyt,1
featurization,The selected string focuses on a sports management decision.,17,nyt,1
featurization,The selected string focuses on a political leader's visit.,18,nyt,1
featurization,The selected string is structured as a media critique.,19,nyt,1
featurization,The selected string includes references to PBS programming.,20,nyt,1
featurization,The selected string focuses on international diplomacy and arms control.,21,nyt,1
featurization,The selected string emphasizes law enforcement and legal consequences.,22,nyt,1
featurization,The selected string focuses on a specific competitive event.,23,nyt,1
featurization,The selected string includes personal anecdotes and observations.,24,nyt,1
featurization,The selected string includes specific architectural and design details.,25,nyt,1
featurization,The selected string includes specific product details and pricing.,26,nyt,1
featurization,The selected string includes a detailed plot summary.,27,nyt,1
featurization,The selected string emphasizes emotional impact on families and educators.,28,nyt,1
featurization,The selected string focuses on a political and legal theme.,29,nyt,1
featurization,The selected string includes direct quotes from participants.,30,nyt,1
featurization,The selected string focuses on a legal proceeding.,31,nyt,1
featurization,The selected string includes specific business examples and success stories.,32,nyt,1
featurization,The selected string explores themes of mortality and legacy.,33,nyt,1
featurization,The selected string emphasizes historical context and tradition of giving.,34,nyt,1
featurization,The selected string includes direct quotes from the artist.,35,nyt,1
featurization,The selected string is set in a university environment.,36,nyt,1
featurization,The selected string focuses on a single individual's personal experiences.,37,nyt,1
featurization,The selected string uses a chronological play-by-play structure.,38,nyt,1
featurization,The selected string focuses on a specific tragic event.,39,nyt,1
featurization,The selected string discusses a specific disease's societal impact.,40,nyt,1
featurization,The selected string focuses on a specific residential project.,41,nyt,1
featurization,The selected string includes a historical perspective on candidates.,42,nyt,1
featurization,The selected string uses direct quotes from athletes.,43,nyt,1
featurization,"The selected string includes multiple short, unrelated news snippets.",44,nyt,1
featurization,The selected string is centered around a contemporary American political context.,45,nyt,1
featurization,The selected string includes direct quotes from political figures.,46,nyt,1
featurization,The selected string emphasizes personal stories of homeowners and architects.,47,nyt,1
featurization,The selected string includes specific exhibition details and locations.,48,nyt,1
featurization,The selected string includes detailed descriptions of interior design elements.,49,nyt,1
baseline,indicate Alpine skiing coverage.,0,nyt,2
baseline,reference Winter Olympics.,1,nyt,2
baseline,discuss travel advisories.,2,nyt,2
baseline,address political or legal events.,3,nyt,2
baseline,mention health services or medical topics.,4,nyt,2
baseline,focus on wildlife conservation.,5,nyt,2
baseline,relate to historical sites or preservation.,6,nyt,2
baseline,involve U.S. legal proceedings.,7,nyt,2
baseline,refer to environmental issues.,8,nyt,2
baseline,contain sports event results.,9,nyt,2
baseline,highlight cultural or art exhibitions.,10,nyt,2
baseline,are about public transportation updates.,11,nyt,2
baseline,cover science and technology topics.,12,nyt,2
baseline,reference media or journalism activities.,13,nyt,2
baseline,discuss auction or sales events.,14,nyt,2
baseline,mention tourism in specific regions.,15,nyt,2
baseline,report on crime and investigations.,16,nyt,2
baseline,describe community or social services.,17,nyt,2
baseline,focus on education or school news.,18,nyt,2
baseline,provide insights into financial or economic topics.,19,nyt,2
baseline,discuss wildlife or animal rights.,20,nyt,2
baseline,indicate book or literature discussions.,21,nyt,2
baseline,address diplomatic or international relations.,22,nyt,2
baseline,cover maritime or marine travel.,23,nyt,2
baseline,discuss building or architecture topics.,24,nyt,2
baseline,relate to religious events or discussions.,25,nyt,2
baseline,involve judicial updates or court rulings.,26,nyt,2
baseline,pertain to higher education or academic settings.,27,nyt,2
baseline,involve cultural or national traditions.,28,nyt,2
baseline,mention notable public figures or celebrity news.,29,nyt,2
baseline,reference communication technologies.,30,nyt,2
baseline,report on housing or real estate.,31,nyt,2
baseline,highlight career or job market insights.,32,nyt,2
baseline,describe natural disasters or weather events.,33,nyt,2
baseline,involve fashion or design topics.,34,nyt,2
baseline,mention philanthropic or fund-raising events.,35,nyt,2
baseline,relate to aviation updates.,36,nyt,2
baseline,address youth or family-related news.,37,nyt,2
baseline,feature culinary or food topics.,38,nyt,2
baseline,explore scientific research or discoveries.,39,nyt,2
baseline,involve transportation infrastructure.,40,nyt,2
baseline,concern military or defense issues.,41,nyt,2
baseline,cover archaeological findings.,42,nyt,2
baseline,discuss municipal or local government actions.,43,nyt,2
baseline,reference geographical or topographical studies.,44,nyt,2
baseline,involve music or entertainment events.,45,nyt,2
baseline,concern labor or workplace issues.,46,nyt,2
baseline,address beauty or wellness topics.,47,nyt,2
baseline,discuss legal reforms or legislative procedures.,48,nyt,2
baseline,describe technological advancements or innovations.,49,nyt,2
prompting,The selected string includes cultural and historical context of China.,0,nyt,2
prompting,The selected string includes specific forensic details like dental records.,1,nyt,2
prompting,"The selected string uses a concise, factual reporting style.",2,nyt,2
prompting,The selected string involves high-profile political figures.,3,nyt,2
prompting,"The selected string is set in New Jersey, USA.",4,nyt,2
prompting,The selected string includes technical details about ride mechanics.,5,nyt,2
prompting,The selected string is set in an art exhibition context.,6,nyt,2
prompting,The selected string is concise and straightforward in its presentation.,7,nyt,2
prompting,The selected string uses a narrative style with vivid imagery.,8,nyt,2
prompting,The selected string emphasizes educational and cultural experiences.,9,nyt,2
prompting,The selected string lacks detailed character testimonies.,10,nyt,2
prompting,The selected string focuses on gardening tasks and maintenance.,11,nyt,2
prompting,The selected string uses Italian language for product naming.,12,nyt,2
prompting,The selected string is concise and straightforward in length.,13,nyt,2
prompting,The selected string focuses on a political election campaign.,14,nyt,2
prompting,The selected string uses a specific nickname: 'Firearm Freeway'.,15,nyt,2
prompting,The selected string provides contact information for further inquiries.,16,nyt,2
prompting,The selected string focuses on products for disabled travelers.,17,nyt,2
prompting,The selected string has a solemn and respectful tone.,18,nyt,2
prompting,"The selected string uses straightforward, factual language.",19,nyt,2
prompting,The selected string addresses recent events influencing legislative changes.,20,nyt,2
prompting,The selected string has a promotional tone for a travel book.,21,nyt,2
prompting,The selected string uses a more informal and conversational tone.,22,nyt,2
prompting,The selected string includes direct quotes from health officials.,23,nyt,2
prompting,"The selected string is set in a specific, iconic location.",24,nyt,2
prompting,"The selected string uses straightforward, factual language.",25,nyt,2
prompting,The selected string highlights late-game strategies and emotional resilience.,26,nyt,2
prompting,The selected string is concise and straightforward in structure.,27,nyt,2
prompting,The selected string includes specific legal references and terminology.,28,nyt,2
prompting,The selected string is concise and to the point.,29,nyt,2
prompting,The selected string includes expressions of gratitude towards a judge.,30,nyt,2
prompting,The selected string emphasizes national pride and team spirit.,31,nyt,2
prompting,The selected string includes direct quotes from local residents.,32,nyt,2
prompting,The selected string includes detailed legal proceedings and rulings.,33,nyt,2
prompting,"The selected string is set in Miami, Florida.",34,nyt,2
prompting,The selected string highlights individual photographers' styles.,35,nyt,2
prompting,The selected string lacks sports or cultural references.,36,nyt,2
prompting,The selected string uses a conversational tone with direct quotes.,37,nyt,2
prompting,The selected string includes a diverse range of artistic activities.,38,nyt,2
prompting,The selected string focuses on scientific discoveries and advancements.,39,nyt,2
prompting,The selected string discusses geopolitical implications and international relations.,40,nyt,2
prompting,The selected string is concise and brief.,41,nyt,2
prompting,The selected string uses legal terminology extensively.,42,nyt,2
prompting,The selected string uses a formal and factual tone.,43,nyt,2
prompting,The selected string uses a more critical and disappointed tone.,44,nyt,2
prompting,"The selected string uses a factual, informative tone throughout.",45,nyt,2
prompting,"The selected string involves a specific law, Megan's Law.",46,nyt,2
prompting,The selected string focuses on a specific Olympic event.,47,nyt,2
prompting,The selected string is concise and to the point.,48,nyt,2
prompting,The selected string focuses on a single correction.,49,nyt,2
featurization,The selected string addresses a specific error in reporting.,0,nyt,2
featurization,The selected string provides specific contact information for each service.,1,nyt,2
featurization,The selected string focuses on brief news summaries and updates.,2,nyt,2
featurization,The selected string emphasizes regional political dynamics in New Jersey.,3,nyt,2
featurization,The selected string includes specific legal and organizational details.,4,nyt,2
featurization,The selected string provides practical travel advice.,5,nyt,2
featurization,The selected string addresses a specific error in a publication.,6,nyt,2
featurization,The selected string focuses on a single correction.,7,nyt,2
featurization,The selected string addresses a specific error in a previous article.,8,nyt,2
featurization,The selected string focuses on recreational activities and travel.,9,nyt,2
featurization,"The selected string involves a high-profile international figure, Noriega.",10,nyt,2
featurization,The selected string is set in a specific New York location.,11,nyt,2
featurization,The selected string includes historical and cultural references.,12,nyt,2
featurization,The selected string focuses on travel and transportation topics.,13,nyt,2
featurization,The selected string includes a detailed personal background.,14,nyt,2
featurization,The selected string highlights international sports events and teams.,15,nyt,2
featurization,The selected string is set in a legal and political context.,16,nyt,2
featurization,The selected string includes specific legal and prosecutorial details.,17,nyt,2
featurization,The selected string focuses on a correction or clarification.,18,nyt,2
featurization,The selected string focuses on local community events and activities.,19,nyt,2
featurization,The selected string focuses on art and cultural exhibition.,20,nyt,2
featurization,The selected string is set in New Jersey.,21,nyt,2
featurization,"The selected string targets a broad, general audience.",22,nyt,2
featurization,The selected string focuses on diplomatic and political themes.,23,nyt,2
featurization,The selected string presents contrasting perspectives on a controversial figure.,24,nyt,2
featurization,The selected string focuses on a sports event.,25,nyt,2
featurization,The selected string targets travelers and airline customers.,26,nyt,2
featurization,"The selected string targets a specific, niche audience.",27,nyt,2
featurization,The selected string focuses on crime and law enforcement.,28,nyt,2
featurization,The selected string focuses on a political event.,29,nyt,2
featurization,The selected string includes direct quotes from local residents.,30,nyt,2
featurization,The selected string targets a local audience in New Jersey.,31,nyt,2
featurization,The selected string is set in a winter sports championship context.,32,nyt,2
featurization,The selected string discusses a specific state law and its impact.,33,nyt,2
featurization,The selected string focuses on a specific Olympic event.,34,nyt,2
featurization,The selected string emphasizes public education and awareness.,35,nyt,2
featurization,The selected string focuses on a single dramatic event.,36,nyt,2
featurization,The selected string emphasizes religious and ethical considerations.,37,nyt,2
featurization,The selected string highlights professional achievements in New York City.,38,nyt,2
featurization,The selected string includes specific player statistics and game details.,39,nyt,2
featurization,The selected string includes courtroom dialogue and exchanges.,40,nyt,2
featurization,The selected string includes contact information for obtaining booklets.,41,nyt,2
featurization,The selected string provides a specific address for reader action.,42,nyt,2
featurization,The selected string focuses on travel deals and discounts.,43,nyt,2
featurization,The selected string includes statistical data and expert quotes.,44,nyt,2
featurization,The selected string involves a specific historical event.,45,nyt,2
featurization,"The selected string discusses a specific political figure, President Bush.",46,nyt,2
featurization,The selected string includes specific geographic directions and distances.,47,nyt,2
featurization,The selected string discusses government policy and fiscal management.,48,nyt,2
featurization,The selected string focuses on a single tragic event.,49,nyt,2
baseline,praise practicality and utility in product reviews.,0,amazon,0
baseline,focus on child engagement and educational value.,1,amazon,0
baseline,show discontent with the product's quality or description.,2,amazon,0
baseline,appreciate aesthetic appeal and design quality.,3,amazon,0
baseline,discuss experiences with movies or television series.,4,amazon,0
baseline,refer to customer service experiences.,5,amazon,0
baseline,involve comparisons to previous versions or models.,6,amazon,0
baseline,offer insights into the compatibility of accessories.,7,amazon,0
baseline,emphasize sentimental or emotional value.,8,amazon,0
baseline,mention the product's efficacy or effectiveness.,9,amazon,0
baseline,include descriptions of product packaging and delivery times.,10,amazon,0
baseline,provide recommendations for specific age groups.,11,amazon,0
baseline,mention environmental factors like weather or geographical locations.,12,amazon,0
baseline,describe recreational or leisurely activities.,13,amazon,0
baseline,highlight the reliability or durability over time.,14,amazon,0
baseline,involve specific characters from pop culture.,15,amazon,0
baseline,focus on product assembly or installation processes.,16,amazon,0
baseline,reference humor or entertainment elements.,17,amazon,0
baseline,involve specific colors and their aesthetic appeal.,18,amazon,0
baseline,illustrate product versatility and various uses.,19,amazon,0
baseline,involve an expert or technical analysis.,20,amazon,0
baseline,share personal stories or anecdotal experiences.,21,amazon,0
baseline,evaluate product components like batteries or chargers.,22,amazon,0
baseline,assess educational or instructional materials.,23,amazon,0
baseline,rely on comparisons to other similar products.,24,amazon,0
baseline,report on customer satisfaction or dissatisfaction.,25,amazon,0
baseline,include mentions of holidays or special occasions.,26,amazon,0
baseline,describe personal preferences or tastes.,27,amazon,0
baseline,mention the size or dimensions of products.,28,amazon,0
baseline,illustrate unique or creative gift ideas.,29,amazon,0
baseline,focus on handcrafting or artistic creations.,30,amazon,0
baseline,convey a sense of nostalgia.,31,amazon,0
baseline,include detailed attention to product texture or material.,32,amazon,0
baseline,involve brand names or specific product lines.,33,amazon,0
baseline,contain opinions on product price points.,34,amazon,0
baseline,talk about learning tools or educational resources.,35,amazon,0
baseline,use metaphor to describe the user experience.,36,amazon,0
baseline,involve safety considerations in product use.,37,amazon,0
baseline,involve ease of use or user-friendliness.,38,amazon,0
baseline,stress product impact on lifestyle changes.,39,amazon,0
baseline,involve collective or group experiences.,40,amazon,0
baseline,include technology or tech-based products.,41,amazon,0
baseline,talk about activities or hobbies.,42,amazon,0
baseline,include feedback on product features or utilities.,43,amazon,0
baseline,provide context in terms of expected product performance.,44,amazon,0
baseline,reflect seasons or weather conditions in reviews.,45,amazon,0
baseline,involve descriptions of physical product features.,46,amazon,0
baseline,express uniqueness or individuality of products.,47,amazon,0
baseline,involve domestic or household applications.,48,amazon,0
baseline,discuss the social or cultural relevance of products.,49,amazon,0
prompting,"The selected string uses simple, everyday vocabulary.",0,amazon,0
prompting,The selected string uses informal language with 'looooved'.,1,amazon,0
prompting,The selected string uses character development and emotional depth.,2,amazon,0
prompting,The selected string has a more educational and informative tone.,3,amazon,0
